"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
30.01.26;13:02:35;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:38:27;P700-Cal.;SK;S_260130_133827; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:38:43;P700-Cal.;SK;S_260130_133843; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:38:56;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:38:56;Manual;SK;S_260130_133856; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:38:57;Fo-Det.;Fo;;n.c.;0;;0.0000;0.2740;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:38:58;Fm-Det.;SP;F_260130_133858_0;n.c.;0;;0.0000;0.2740;0.5030;;0.2742;0.455;;;0.000;0.545;0.000;0.000;0.000;0.999;0.998;0.545;1.000;0.038;0.129;;;;;
30.01.26;13:39:06;Pm.-Det.;SP;F_260130_133906_0;n.c.;0;;0.0000;0.2715;0.4949;;0.2738;0.447;;;0.000;0.544;0.009;0.016;0.025;0.990;0.982;0.544;0.984;0.134;0.201;0.335;0.665;0.000;0.000;
30.01.26;13:39:40;P.+F. SP;SP;F_260130_133940_0;n.c.;26;;0.0000;0.2568;0.4480;;0.3462;0.227;;;2.483;0.688;0.084;0.123;0.165;0.533;0.395;0.688;0.891;-0.000;0.194;0.966;0.000;0.034;10.545;
30.01.26;13:40:10;P.+F. SP;SP;F_260130_134010_0;n.c.;36;;0.0000;0.2523;0.4344;;0.3265;0.248;;;3.756;0.649;0.102;0.158;0.205;0.592;0.458;0.649;0.864;-0.005;0.170;0.868;0.000;0.132;13.126;
30.01.26;13:40:40;P.+F. SP;SP;F_260130_134040_0;n.c.;49;;0.0000;0.2457;0.4151;;0.3123;0.248;;;5.100;0.621;0.131;0.212;0.260;0.607;0.478;0.621;0.825;-0.013;0.160;0.863;0.000;0.137;17.757;
30.01.26;13:41:10;P.+F. SP;SP;F_260130_134110_0;n.c.;100;;0.0000;0.2182;0.3424;;0.2730;0.203;;;8.521;0.543;0.254;0.469;0.458;0.559;0.447;0.543;0.681;0.027;0.197;0.846;0.134;0.020;35.543;
30.01.26;13:41:40;P.+F. SP;SP;F_260130_134140_0;n.c.;172;;0.0000;0.1890;0.2755;;0.2326;0.156;;;11.260;0.462;0.382;0.826;0.622;0.496;0.403;0.462;0.548;0.014;0.167;0.757;0.071;0.171;54.695;
30.01.26;13:42:10;P.+F. SP;SP;F_260130_134210_0;n.c.;228;;0.0000;0.1754;0.2476;;0.2150;0.132;;;12.593;0.428;0.441;1.031;0.685;0.451;0.368;0.428;0.492;0.033;0.202;0.844;0.162;-0.005;80.789;
30.01.26;13:42:40;P.+F. SP;SP;F_260130_134240_0;n.c.;384;;0.0000;0.1616;0.2209;;0.2022;0.084;;;13.618;0.402;0.514;1.277;0.741;0.314;0.251;0.402;0.439;0.054;0.164;0.550;0.266;0.184;88.713;
30.01.26;13:43:10;P.+F. SP;SP;F_260130_134310_0;n.c.;601;;0.0000;0.1546;0.2080;;0.1967;0.054;;;13.649;0.391;0.555;1.418;0.767;0.211;0.165;0.391;0.413;0.094;0.173;0.393;0.467;0.139;99.276;
30.01.26;13:43:40;P.+F. SP;SP;F_260130_134340_0;n.c.;933;;0.0000;0.1498;0.1995;;0.1932;0.032;;;12.357;0.384;0.584;1.522;0.783;0.127;0.098;0.384;0.397;0.139;0.177;0.192;0.688;0.120;75.411;
30.01.26;13:44:10;P.+F. SP;SP;F_260130_134410_0;n.c.;1440;;0.0000;0.1459;0.1926;;0.1886;0.021;;;12.636;0.375;0.604;1.611;0.796;0.086;0.067;0.375;0.383;0.185;0.206;0.105;0.918;-0.024;63.767;
30.01.26;13:44:40;P.+F. SP;SP;F_260130_134440_0;n.c.;1783;;0.0000;0.1425;0.1867;;0.1840;0.015;;;11.006;0.366;0.619;1.693;0.807;0.062;0.048;0.366;0.371;0.165;0.218;0.260;0.820;-0.080;194.661;
30.01.26;13:45:10;P.+F. SP;SP;F_260130_134510_0;n.c.;2219;;0.0000;0.1390;0.1808;;0.1790;0.010;;;9.674;0.356;0.634;1.781;0.818;0.045;0.035;0.356;0.360;0.193;0.217;0.117;0.959;-0.076;108.599;
30.01.26;13:45:40;P.+F. SP;SP;F_260130_134540_0;n.c.;2737;;0.0000;0.1360;0.1758;;0.1749;0.005;;;5.866;0.348;0.647;1.861;0.826;0.023;0.018;0.348;0.350;0.192;0.194;0.012;0.951;0.037;14.145;
30.01.26;13:46:10;P.+F. SP;SP;F_260130_134610_0;n.c.;3335;;0.0000;0.1331;0.1709;;0.1702;0.004;;;6.196;0.338;0.657;1.942;0.835;0.020;0.016;0.338;0.340;0.188;0.168;0.000;0.934;0.066;0.000;
30.01.26;13:46:13;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
