"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
01.02.26;12:56:12;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:11:35;P700-Cal.;SK;S_260201_131135; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:11:53;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:11:53;Manual;SK;S_260201_131153; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:11:54;Fo-Det.;Fo;;n.c.;0;;0.0000;0.3292;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:11:54;Fm-Det.;SP;F_260201_131154_0;n.c.;0;;0.0000;0.3292;0.6429;;0.3281;0.488;;;0.000;0.512;0.000;0.000;0.000;1.000;1.000;0.510;1.000;-0.057;0.145;;;;;
01.02.26;13:12:04;Pm.-Det.;SP;F_260201_131204_0;n.c.;0;;0.0000;0.3242;0.6244;;0.3333;0.466;;;0.000;0.518;0.015;0.030;0.043;0.970;0.943;0.518;0.971;0.089;0.141;0.370;0.630;0.000;0.000;
01.02.26;13:12:38;P.+F. SP;SP;F_260201_131238_0;n.c.;14;;0.0000;0.3110;0.5772;;0.4290;0.257;;;1.510;0.667;0.076;0.114;0.152;0.557;0.404;0.667;0.898;-0.020;0.184;1.000;0.000;0.000;5.880;
01.02.26;13:13:08;P.+F. SP;SP;F_260201_131308_0;n.c.;23;;0.0000;0.3055;0.5586;;0.4014;0.281;;;2.719;0.624;0.094;0.151;0.193;0.621;0.473;0.624;0.869;0.000;0.191;1.000;0.004;-0.004;9.660;
01.02.26;13:13:38;P.+F. SP;SP;F_260201_131338_0;n.c.;36;;0.0000;0.2993;0.5381;;0.3843;0.286;;;4.323;0.598;0.116;0.195;0.239;0.644;0.502;0.598;0.837;-0.023;0.200;1.000;0.000;0.000;15.120;
01.02.26;13:14:08;P.+F. SP;SP;F_260201_131408_0;n.c.;86;;0.0000;0.2716;0.4549;;0.3423;0.247;;;8.936;0.532;0.220;0.413;0.416;0.614;0.487;0.532;0.707;-0.010;0.177;1.000;0.000;0.000;36.120;
01.02.26;13:14:38;P.+F. SP;SP;F_260201_131438_0;n.c.;157;;0.0000;0.2236;0.3345;;0.2718;0.187;;;12.354;0.423;0.390;0.922;0.647;0.565;0.465;0.423;0.520;0.023;0.202;1.000;0.163;-0.163;65.940;
01.02.26;13:15:08;P.+F. SP;SP;F_260201_131508_0;n.c.;211;;0.0000;0.2037;0.2918;;0.2477;0.151;;;13.395;0.385;0.464;1.203;0.719;0.500;0.412;0.385;0.454;0.015;0.193;1.000;0.110;-0.110;88.620;
01.02.26;13:15:38;P.+F. SP;SP;F_260201_131538_0;n.c.;365;;0.0000;0.1857;0.2563;;0.2320;0.095;;;14.557;0.361;0.544;1.508;0.775;0.345;0.276;0.361;0.399;0.077;0.180;0.731;0.549;-0.280;112.053;
01.02.26;13:16:08;P.+F. SP;SP;F_260201_131608_0;n.c.;577;;0.0000;0.1770;0.2400;;0.2259;0.059;;;14.199;0.351;0.590;1.679;0.799;0.223;0.175;0.351;0.373;0.078;0.171;0.664;0.553;-0.217;160.882;
01.02.26;13:16:38;P.+F. SP;SP;F_260201_131638_0;n.c.;902;;0.0000;0.1703;0.2278;;0.2197;0.036;;;13.480;0.342;0.623;1.822;0.817;0.141;0.109;0.342;0.354;0.146;0.185;0.278;1.000;-0.278;105.260;
01.02.26;13:17:08;P.+F. SP;SP;F_260201_131708_0;n.c.;1394;;0.0000;0.1651;0.2186;;0.2146;0.018;;;10.725;0.334;0.648;1.941;0.829;0.075;0.058;0.334;0.340;0.143;0.152;0.070;1.000;-0.070;41.033;
01.02.26;13:17:38;P.+F. SP;SP;F_260201_131738_0;n.c.;1731;;0.0000;0.1613;0.2120;;0.2093;0.013;;;9.340;0.326;0.662;2.033;0.838;0.054;0.041;0.326;0.330;0.193;0.205;0.092;1.000;-0.092;66.615;
01.02.26;13:18:08;P.+F. SP;SP;F_260201_131808_0;n.c.;2158;;0.0000;0.1581;0.2065;;0.2045;0.010;;;8.841;0.318;0.672;2.113;0.846;0.042;0.032;0.318;0.321;0.168;0.176;0.058;1.000;-0.058;52.740;
01.02.26;13:18:38;P.+F. SP;SP;F_260201_131838_0;n.c.;2664;;0.0000;0.1554;0.2019;;0.2008;0.006;;;6.355;0.312;0.682;2.184;0.852;0.025;0.019;0.312;0.314;0.196;0.200;0.027;1.000;-0.027;30.178;
01.02.26;13:19:08;P.+F. SP;SP;F_260201_131908_0;n.c.;3250;;0.0000;0.1530;0.1980;;0.1971;0.005;;;6.216;0.307;0.689;2.248;0.857;0.020;0.016;0.307;0.308;0.187;0.186;0.000;1.000;0.000;0.000;
01.02.26;13:19:12;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
