"par","yield_1","yield_2","etr_1","etr_2"
0,0.108,0.779,0,0
39,0.488,0.42,7.99344,6.8796
49,0.513,0.472,10.55754,9.71376
62,0.498,0.486,12.96792,12.65544
113,0.493,0.478,23.39778,22.68588
185,0.559,0.473,43.4343,36.7521
241,0.497,0.461,50.30634,46.66242
397,0.499,0.335,83.20326,55.8579
614,0.421,0.222,108.56748,57.24936
946,0.308,0.132,122.37456,52.44624
1453,0.179,0.075,109.23654,45.7695
1796,0.145,0.056,109.3764,42.24192
2232,0.111,0.043,104.05584,40.30992
2750,0.086,0.029,99.33,33.495
3348,0.013,0.019,18.28008,26.71704
