"par","yield_1","yield_2","etr_1","etr_2"
0,0.303,0.798,0,0
26,0.347,0.608,3.78924,6.63936
36,0.348,0.64,5.26176,9.6768
49,0.359,0.671,7.38822,13.80918
100,0.385,0.677,16.17,28.434
172,0.426,0.658,30.77424,47.53392
228,0.472,0.628,45.19872,60.13728
384,0.488,0.496,78.70464,79.99488
601,0.462,0.348,116.61804,87.84216
933,0.385,0.212,150.8661,83.07432
1440,0.277,0.118,167.5296,71.3664
1783,0.212,0.086,158.75832,64.40196
2219,0.162,0.062,150.98076,57.78276
2737,0.12,0.043,137.9448,49.43022
3335,0.085,0.028,119.0595,39.2196
