"par","yield_1","yield_2","etr_1","etr_2"
0,0.532,0.576,0,0
14,0.868,0.298,5.10384,1.75224
23,0.835,0.345,8.0661,3.3327
36,0.862,0.355,13.03344,5.3676
86,0.824,0.307,29.76288,11.08884
157,0.731,0.246,48.20214,16.22124
211,0.623,0.187,55.21026,16.57194
365,0.382,0.098,58.5606,15.0234
577,0.199,0.055,48.22566,13.3287
902,0.117,0.03,44.32428,11.3652
1394,0.084,0.016,49.18032,9.36768
1731,0.027,0.011,19.62954,7.99722
2158,0.024,0.008,21.75264,7.25088
2664,0.051,0.005,57.06288,5.5944
3250,0.03,0.004,40.95,5.46
