"par","yield_1","yield_2","etr_1","etr_2"
0,0.335,0.455,0,0
26,0.966,0.227,10.54872,2.47884
36,0.868,0.248,13.12416,3.74976
49,0.863,0.248,17.76054,5.10384
100,0.846,0.203,35.532,8.526
172,0.757,0.156,54.68568,11.26944
228,0.844,0.132,80.82144,12.64032
384,0.55,0.084,88.704,13.54752
601,0.393,0.054,99.20106,13.63068
933,0.192,0.032,75.23712,12.53952
1440,0.105,0.021,63.504,12.7008
1783,0.26,0.015,194.7036,11.2329
2219,0.117,0.01,109.04166,9.3198
2737,0.012,0.005,13.79448,5.7477
3335,0,0.004,0,5.6028
