"par","prediction"
0,0
1,0.1448962186023
2,0.288491178465422
3,0.430796160516257
4,0.571822348010784
5,0.711580827379665
6,0.850082589066526
7,0.987338528358973
8,1.12335944621243
9,1.25815605006683
10,1.39173895465623
11,1.52411868281142
12,1.65530566625562
13,1.78531024639321
14,1.91414267509174
15,2.04181311545705
16,2.16833164260175
17,2.29370824440706
18,2.41795282227799
19,2.54107519189209
20,2.66308508394153
21,2.78399214486901
22,2.90380593759703
23,3.02253594225111
24,3.14019155687648
25,3.25678209814882
26,3.37231680207867
27,3.4868048247098
28,3.60025524281153
29,3.71267705456511
30,3.82407918024405
31,3.93447046288864
32,4.0438596689746
33,4.15225548907596
34,4.2596665385222
35,4.36610135804965
36,4.47156841444733
37,4.57607610119716
38,4.67963273910859
39,4.78224657694781
40,4.88392579206145
41,4.98467849099493
42,5.08451271010541
43,5.18343641616947
44,5.28145750698549
45,5.37858381197088
46,5.47482309275406
47,5.57018304376137
48,5.66467129279889
49,5.75829540162919
50,5.85106286654313
51,5.9429811189267
52,6.03405752582291
53,6.12429939048889
54,6.21371395294809
55,6.30230839053776
56,6.39008981845165
57,6.47706529027803
58,6.56324179853307
59,6.64862627518954
60,6.733225592201
61,6.81704656202143
62,6.90009593812033
63,6.98238041549344
64,7.0639066311689
65,7.1446811647092
66,7.22471053870866
67,7.30400121928661
68,7.3825596165764
69,7.46039208521004
70,7.53750492479877
71,7.61390438040935
72,7.68959664303634
73,7.76458785007021
74,7.83888408576143
75,7.91249138168055
76,7.98541571717426
77,8.05766301981755
78,8.12923916586192
79,8.20014998067973
80,8.27040123920468
81,8.3399986663685
82,8.40894793753385
83,8.47725467892346
84,8.5449244680456
85,8.61196283411577
86,8.67837525847489
87,8.74416717500369
88,8.80934397053369
89,8.87391098525444
90,8.93787351311744
91,9.00123680223635
92,9.06400605528392
93,9.12618642988534
94,9.1877830390083
95,9.24880095134957
96,9.30924519171831
97,9.36912074141605
98,9.4284325386133
99,9.48718547872307
100,9.54538441477092
101,9.60303415776206
102,9.66013947704505
103,9.71670510067251
104,9.77273571575864
105,9.8282359688336
106,9.88321046619495
107,9.93766377425591
108,9.99160041989068
109,10.0450248907768
110,10.0979416357344
111,10.1503550650627
112,10.2022695508736
113,10.253689427422
114,10.3046189914338
115,10.3550625024308
116,10.4050241830528
117,10.4545082193766
118,10.5035187612331
119,10.5520599225207
120,10.6001357815166
121,10.6477503811848
122,10.6949077294825
123,10.7416117996627
124,10.7878665305747
125,10.8336758269619
126,10.8790435597576
127,10.923973566377
128,10.9684696510077
129,11.0125355848976
130,11.0561751066397
131,11.0993919224549
132,11.1421897064726
133,11.184572101008
134,11.2265427168381
135,11.2681051334743
136,11.3092628994332
137,11.3500195325051
138,11.39037852002
139,11.430343319111
140,11.4699173569761
141,11.5091040311373
142,11.5479067096973
143,11.5863287315945
144,11.6243734068553
145,11.6620440168445
146,11.6993438145133
147,11.7362760246456
148,11.7728438441014
149,11.8090504420591
150,11.8448989602548
151,11.8803925132199
152,11.9155341885167
153,11.9503270469719
154,11.9847741229082
155,12.0188784243735
156,12.0526429333685
157,12.0860706060722
158,12.1191643730655
159,12.1519271395528
160,12.1843617855817
161,12.2164711662606
162,12.2482581119751
163,12.2797254286015
164,12.3108758977195
165,12.3417122768219
166,12.372237299524
167,12.4024536757694
168,12.4323640920357
169,12.4619712115373
170,12.4912776744267
171,12.5202860979946
172,12.5489990768673
173,12.5774191832033
174,12.6055489668877
175,12.6333909557249
176,12.6609476556301
177,12.6882215508184
178,12.7152151039932
179,12.7419307565317
180,12.7683709286703
181,12.7945380196871
182,12.8204344080836
183,12.8460624517646
184,12.8714244882163
185,12.8965228346833
186,12.9213597883437
187,12.9459376264829
188,12.970258606666
189,12.9943249669081
190,13.0181389258438
191,13.0417026828953
192,13.0650184184381
193,13.0880882939664
194,13.1109144522564
195,13.1334990175282
196,13.1558440956069
197,13.1779517740814
198,13.1998241224623
199,13.2214631923388
200,13.2428710175336
201,13.2640496142567
202,13.2850009812578
203,13.3057270999779
204,13.3262299346986
205,13.346511432691
206,13.3665735243628
207,13.3864181234045
208,13.4060471269339
209,13.4254624156399
210,13.4446658539243
211,13.4636592900431
212,13.4824445562464
213,13.5010234689165
214,13.5193978287058
215,13.5375694206728
216,13.5555400144169
217,13.5733113642125
218,13.5908852091417
219,13.6082632732254
220,13.6254472655544
221,13.6424388804181
222,13.6592397974329
223,13.6758516816689
224,13.6922761837766
225,13.7085149401107
226,13.7245695728548
227,13.7404416901435
228,13.7561328861843
229,13.7716447413781
230,13.7869788224388
231,13.8021366825116
232,13.8171198612907
233,13.8319298851358
234,13.8465682671872
235,13.8610365074805
236,13.8753360930601
237,13.8894684980917
238,13.9034351839734
239,13.9172375994469
240,13.9308771807064
241,13.9443553515077
242,13.9576735232758
243,13.9708330952113
244,13.983835454397
245,13.9966819759018
246,14.0093740228857
247,14.0219129467023
248,14.034300087001
249,14.0465367718289
250,14.0586243177304
251,14.0705640298475
252,14.0823572020183
253,14.0940051168748
254,14.1055090459398
255,14.1168702497234
256,14.1280899778181
257,14.1391694689934
258,14.1501099512896
259,14.1609126421103
260,14.1715787483152
261,14.1821094663107
262,14.1925059821406
263,14.2027694715761
264,14.2129011002045
265,14.2229020235172
266,14.2327733869975
267,14.242516326207
268,14.2521319668715
269,14.2616214249662
270,14.2709858068002
271,14.2802262091001
272,14.2893437190929
273,14.2983394145884
274,14.3072143640607
275,14.3159696267287
276,14.3246062526369
277,14.3331252827341
278,14.3415277489527
279,14.3498146742865
280,14.3579870728681
281,14.3660459500457
282,14.3739923024591
283,14.381827118115
284,14.3895513764619
285,14.3971660484644
286,14.4046720966759
287,14.4120704753124
288,14.419362130324
289,14.4265479994665
290,14.4336290123727
291,14.4406060906226
292,14.447480147813
293,14.4542520896265
294,14.4609228139004
295,14.4674932106943
