alpha_2_ep,etrmax_2_ep,ik_2_ep,alpha_1_ep,etrmax_1_ep,ik_1_ep,alpha_2_platt,etrmax_2_platt,ik_2_platt,alpha_1_platt,etrmax_1_platt,ik_1_platt,file_name
0.156,19.8,127.1,0.478,101,211.3,0.14,19.6,139.9,0.704,90.2,128.1,"20260129_01_mais.csv"
0.333,171.4,514.2,0.207,310.6,1499.4,0.973,136.1,139.8,0.241,329.1,1363.3,"20260129_02_ackerbohne.csv"
0.354,118.2,334,0.265,241.8,911.5,0.385,115.9,301.3,0.293,243.4,831.8,"20260129_03_weizen.csv"
0.406,91.7,225.7,0.338,144.6,427.6,0.408,89.4,219.1,0.371,141.5,381.6,"20260129_04_weizen.csv"
0.364,155.1,426.2,0.239,246.8,1030.5,0.387,153.5,396.8,0.256,248.3,971.1,"20260129_05_ackerbohne.csv"
0.262,58.4,222.8,0.202,126.6,625.4,0.292,56.8,194.5,0.288,122.5,424.8,"20260130_02_weizen.csv"
0.127,14.2,111.7,0.462,105.1,227.5,0.118,14.2,120.7,0.3,118.9,396.3,"20260130_03_mais.csv"
0.288,14.7,51.2,0.463,31.9,68.9,0.257,14.5,56.4,0.394,31.6,80.3,"20260130_04_efeutute.csv"
0.333,88.6,265.9,0.201,167.2,830.9,0.388,86.3,222.6,0.268,162.7,606.3,"20260130_05_ackerbohne.csv"
0.149,14.9,100.2,0.311,144,463.8,0.145,14.8,102.3,0.637,126.2,198.2,"20260201_mais.csv"
0.358,39.5,110.6,0.302,120.5,399.4,0.381,38.4,100.8,0.342,119.6,350,"20260201_01_tomate.csv"
0.366,62.3,170.3,0.397,111.7,281.6,0.36,61.5,170.9,0.398,109.7,275.9,"20260201_02_weizen.csv"
0.206,16.3,79.3,0.673,53.1,78.9,0.217,15.7,72.5,0.598,50.9,85,"20260201_03_mais.csv"
0.175,9.3,53.4,0.392,81.9,208.6,0.146,9.2,63.2,0.435,80.4,184.8,"20260201_05_mais.csv"
0.398,49.7,124.6,0.53,74.9,141.3,0.388,48.7,125.5,0.505,73.2,144.9,"20260201_06_tomate.csv"
0.405,47.4,116.9,0.429,65.5,152.6,0.399,46.6,116.7,0.42,65,154.7,"20260201_07_tomate.csv"
0.345,34.9,101.2,0.35,76,217.2,0.32,34.4,107.7,0.369,76.3,207.1,"20260201_08_tomate.csv"
0.313,36.3,115.9,0.27,91,336.6,0.295,35.8,121.4,0.264,95.8,362.9,"20260201_09_tomate.csv"
0.42,50.7,120.8,0.427,70.2,164.3,0.42,49.6,118.1,0.425,69.2,162.9,"20260201_10_tomate.csv"
0.361,43.3,120.1,0.455,76.4,167.8,0.349,42.6,122,0.49,73.9,150.8,"20260201_13_tomate.csv"
