"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
29.01.26;13:15:50;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:33:14;P700-Cal.;SK;S_260129_133314; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:33:27;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:33:27;Manual;SK;S_260129_133327; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:33:28;Fo-Det.;Fo;; 0.0;0;;0.0000;0.2007;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:33:30;Fm-Det.;SP;F_260129_133330_0; 0.0;0;;0.0000;0.2007;0.9401;;0.2100;0.787;;;0.000;0.223;0.000;0.000;0.000;0.987;0.944;0.223;1.000;2.890;6.897;;;;;
29.01.26;13:33:37;Pm.-Det.;SP;F_260129_133337_0; 0.0;0;;0.0000;0.2007;0.9254;;0.2291;0.752;;;0.000;0.243;0.005;0.016;0.020;0.961;0.842;0.244;0.984;4.291;8.788;0.512;0.488;-0.000;0.000;
29.01.26;13:34:11;P.+F. SP;SP;F_260129_133411_0; 0.0;39;;0.0000;0.2007;0.9024;;0.2838;0.686;;;11.229;0.299;0.015;0.042;0.051;0.882;0.624;0.302;0.960;0.559;4.460;0.444;0.064;0.492;7.271;
29.01.26;13:34:41;P.+F. SP;SP;F_260129_133441_0; 0.0;49;;0.0000;0.2007;0.8875;;0.2755;0.690;;;14.191;0.290;0.021;0.059;0.071;0.891;0.649;0.293;0.944;0.577;4.504;0.447;0.066;0.488;9.196;
29.01.26;13:35:11;P.+F. SP;SP;F_260129_133511_0; 0.0;62;;0.0000;0.2007;0.8816;;0.2739;0.689;;;17.950;0.288;0.023;0.066;0.079;0.892;0.654;0.291;0.938;0.526;4.517;0.454;0.060;0.486;11.826;
29.01.26;13:35:41;P.+F. SP;SP;F_260129_133541_0; 0.0;113;;0.0000;0.2007;0.8440;;0.2751;0.674;;;31.992;0.286;0.039;0.114;0.130;0.884;0.645;0.293;0.898;0.416;4.409;0.454;0.047;0.498;21.564;
29.01.26;13:36:11;P.+F. SP;SP;F_260129_133611_0; 0.0;185;;0.0000;0.2007;0.7791;;0.2671;0.657;;;51.063;0.273;0.069;0.207;0.218;0.885;0.665;0.284;0.829;0.396;4.462;0.463;0.045;0.492;35.954;
29.01.26;13:36:41;P.+F. SP;SP;F_260129_133641_0; 0.0;241;;0.0000;0.2007;0.7714;;0.2593;0.664;;;67.194;0.265;0.071;0.219;0.228;0.897;0.694;0.276;0.821;0.370;4.493;0.469;0.042;0.489;47.497;
29.01.26;13:37:11;P.+F. SP;SP;F_260129_133711_0; 0.0;397;;0.0000;0.2007;0.6883;;0.2613;0.620;;;103.435;0.260;0.119;0.366;0.341;0.876;0.673;0.278;0.732;0.506;4.664;0.473;0.058;0.469;78.906;
29.01.26;13:37:41;P.+F. SP;SP;F_260129_133741_0; 0.0;614;;0.0000;0.2007;0.5924;;0.2737;0.538;;;138.737;0.264;0.198;0.587;0.470;0.814;0.597;0.291;0.630;0.890;5.037;0.472;0.101;0.427;121.690;
29.01.26;13:38:11;P.+F. SP;SP;F_260129_133811_0; 0.0;946;;0.0000;0.2007;0.4818;;0.2866;0.405;;;160.984;0.267;0.328;0.951;0.620;0.694;0.486;0.305;0.513;1.829;5.882;0.461;0.208;0.331;183.243;
29.01.26;13:38:41;P.+F. SP;SP;F_260129_133841_0; 0.0;1453;;0.0000;0.2007;0.4099;;0.2984;0.272;;;166.081;0.277;0.451;1.293;0.717;0.533;0.359;0.317;0.436;3.176;6.669;0.397;0.361;0.241;242.510;
29.01.26;13:39:11;P.+F. SP;SP;F_260129_133911_0; 0.0;1796;;0.0000;0.2007;0.3773;;0.2939;0.221;;;166.783;0.272;0.507;1.491;0.761;0.472;0.323;0.313;0.401;3.801;6.975;0.361;0.433;0.206;272.490;
29.01.26;13:39:41;P.+F. SP;SP;F_260129_133941_0; 0.0;2232;;0.0000;0.2007;0.3522;;0.2912;0.173;;;162.386;0.271;0.556;1.669;0.795;0.403;0.278;0.310;0.375;4.453;7.196;0.312;0.507;0.181;292.592;
29.01.26;13:40:11;P.+F. SP;SP;F_260129_134011_0; 0.0;2750;;0.0000;0.2007;0.3316;;0.2870;0.135;;;155.359;0.269;0.596;1.835;0.823;0.341;0.238;0.305;0.353;5.010;7.386;0.270;0.570;0.160;312.245;
29.01.26;13:40:14;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
