"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
01.02.26;13:47:38;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:52:29;P700-Cal.;SK;S_260201_135229; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:52:37;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:52:37;Manual;SK;S_260201_135237; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:52:38;Fo-Det.;Fo;;n.c.;0;;0.0000;0.1665;;;;;;;;;;;;;;;;;;;;;;
01.02.26;13:52:38;Fm-Det.;SP;F_260201_135238_0;n.c.;0;;0.0000;0.1665;0.7641;;0.1627;0.782;;;0.000;0.218;0.000;0.000;0.000;1.000;1.000;0.213;1.000;0.049;1.210;;;;;
01.02.26;13:52:48;Pm.-Det.;SP;F_260201_135248_0;n.c.;0;;0.0000;0.1655;0.7433;;0.1841;0.752;;;0.000;0.241;0.007;0.028;0.033;0.968;0.870;0.241;0.973;1.612;1.767;0.088;0.912;0.000;0.000;
01.02.26;13:53:22;P.+F. SP;SP;F_260201_135322_0;n.c.;14;;0.0000;0.1550;0.5702;;0.2520;0.558;;;3.282;0.330;0.112;0.340;0.305;0.766;0.472;0.330;0.746;0.048;1.122;0.608;0.027;0.365;3.573;
01.02.26;13:53:52;P.+F. SP;SP;F_260201_135352_0;n.c.;23;;0.0000;0.1550;0.5696;;0.2488;0.563;;;5.441;0.326;0.111;0.341;0.306;0.774;0.482;0.326;0.745;0.013;1.058;0.592;0.007;0.401;5.714;
01.02.26;13:54:22;P.+F. SP;SP;F_260201_135422_0;n.c.;36;;0.0000;0.1571;0.6000;;0.2508;0.582;;;8.801;0.328;0.090;0.274;0.259;0.789;0.494;0.328;0.785;0.011;1.038;0.582;0.006;0.412;8.794;
01.02.26;13:54:52;P.+F. SP;SP;F_260201_135452_0;n.c.;86;;0.0000;0.1520;0.5311;;0.2200;0.586;;;21.159;0.288;0.126;0.439;0.366;0.821;0.567;0.288;0.695;0.030;1.111;0.612;0.017;0.371;22.088;
01.02.26;13:55:22;P.+F. SP;SP;F_260201_135522_0;n.c.;157;;0.0000;0.1464;0.4684;;0.2024;0.568;;;37.442;0.265;0.167;0.631;0.461;0.826;0.597;0.265;0.613;0.112;1.242;0.640;0.063;0.297;42.173;
01.02.26;13:55:52;P.+F. SP;SP;F_260201_135552_0;n.c.;211;;0.0000;0.1455;0.4602;;0.2048;0.555;;;49.189;0.268;0.177;0.660;0.473;0.812;0.577;0.268;0.602;0.166;1.319;0.652;0.094;0.254;57.799;
01.02.26;13:56:22;P.+F. SP;SP;F_260201_135622_0;n.c.;365;;0.0000;0.1306;0.3380;;0.2050;0.393;;;60.306;0.268;0.338;1.261;0.653;0.641;0.408;0.268;0.442;0.517;1.587;0.606;0.293;0.102;92.827;
01.02.26;13:56:52;P.+F. SP;SP;F_260201_135652_0;n.c.;577;;0.0000;0.1234;0.2934;;0.2208;0.248;;;59.984;0.289;0.464;1.604;0.715;0.427;0.239;0.289;0.384;0.877;1.669;0.448;0.497;0.056;108.556;
01.02.26;13:57:22;P.+F. SP;SP;F_260201_135722_0;n.c.;902;;0.0000;0.1201;0.2754;;0.2339;0.151;;;57.129;0.306;0.543;1.774;0.740;0.267;0.137;0.306;0.360;1.152;1.647;0.280;0.652;0.068;106.146;
01.02.26;13:57:52;P.+F. SP;SP;F_260201_135752_0;n.c.;1394;;0.0000;0.1168;0.2590;;0.2352;0.092;;;53.822;0.308;0.600;1.950;0.762;0.167;0.083;0.308;0.339;1.316;1.624;0.174;0.745;0.081;102.059;
01.02.26;13:58:22;P.+F. SP;SP;F_260201_135822_0;n.c.;1731;;0.0000;0.1138;0.2448;;0.2274;0.071;;;51.538;0.298;0.631;2.122;0.781;0.133;0.066;0.298;0.320;1.395;1.644;0.141;0.790;0.070;102.278;
01.02.26;13:58:52;P.+F. SP;SP;F_260201_135852_0;n.c.;2158;;0.0000;0.1116;0.2347;;0.2219;0.055;;;49.561;0.290;0.655;2.255;0.794;0.104;0.052;0.290;0.307;1.413;1.604;0.109;0.800;0.092;98.343;
01.02.26;13:59:22;P.+F. SP;SP;F_260201_135922_0;n.c.;2664;;0.0000;0.1096;0.2258;;0.2170;0.039;;;43.683;0.284;0.677;2.384;0.806;0.076;0.038;0.284;0.295;1.425;1.594;0.095;0.807;0.098;106.562;
01.02.26;13:59:52;P.+F. SP;SP;F_260201_135952_0;n.c.;3250;;0.0000;0.1073;0.2162;;0.2107;0.026;;;34.935;0.276;0.699;2.534;0.818;0.051;0.026;0.276;0.283;1.437;1.548;0.063;0.813;0.124;86.406;
01.02.26;13:59:56;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
