"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
01.02.26;15:46:57;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;15:47:08;P700-Cal.;SK;S_260201_154708; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;15:47:23;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;15:47:23;Manual;SK;S_260201_154723; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;15:47:24;Fo-Det.;Fo;;n.c.;0;;0.0000;0.3269;;;;;;;;;;;;;;;;;;;;;;
01.02.26;15:47:24;Fm-Det.;SP;F_260201_154724_0;n.c.;0;;0.0000;0.3269;1.6490;;0.3271;0.802;;;0.000;0.198;0.000;0.000;0.000;1.000;0.999;0.198;1.000;0.044;2.778;;;;;
01.02.26;15:47:34;Pm.-Det.;SP;F_260201_154734_0;n.c.;0;;0.0000;0.3262;1.6303;;0.3589;0.780;;;0.000;0.218;0.002;0.011;0.014;0.975;0.886;0.218;0.989;2.381;3.238;0.265;0.735;0.000;0.000;
01.02.26;15:48:08;P.+F. SP;SP;F_260201_154808_0;n.c.;14;;0.0000;0.3137;1.3605;;0.4383;0.678;;;3.986;0.266;0.056;0.212;0.208;0.881;0.631;0.266;0.825;0.090;2.593;0.773;0.028;0.199;4.545;
01.02.26;15:48:38;P.+F. SP;SP;F_260201_154838_0;n.c.;23;;0.0000;0.3119;1.3273;;0.4213;0.683;;;6.593;0.256;0.062;0.242;0.232;0.892;0.661;0.256;0.805;0.116;2.529;0.745;0.036;0.219;7.198;
01.02.26;15:49:08;P.+F. SP;SP;F_260201_154908_0;n.c.;36;;0.0000;0.3132;1.3504;;0.4267;0.684;;;10.342;0.259;0.057;0.221;0.215;0.891;0.654;0.259;0.819;0.137;2.455;0.716;0.042;0.242;10.824;
01.02.26;15:49:38;P.+F. SP;SP;F_260201_154938_0;n.c.;86;;0.0000;0.3043;1.1991;;0.4306;0.641;;;23.150;0.261;0.098;0.375;0.323;0.859;0.607;0.261;0.727;0.274;2.437;0.668;0.085;0.247;24.130;
01.02.26;15:50:08;P.+F. SP;SP;F_260201_155008_0;n.c.;157;;0.0000;0.2893;0.9960;;0.4451;0.553;;;36.476;0.270;0.177;0.656;0.465;0.780;0.507;0.270;0.604;0.568;2.679;0.652;0.175;0.173;43.001;
01.02.26;15:50:38;P.+F. SP;SP;F_260201_155038_0;n.c.;211;;0.0000;0.2800;0.8938;;0.4472;0.500;;;44.280;0.271;0.229;0.845;0.536;0.728;0.456;0.271;0.542;0.800;2.818;0.623;0.247;0.130;55.230;
01.02.26;15:51:08;P.+F. SP;SP;F_260201_155108_0;n.c.;365;;0.0000;0.2566;0.6926;;0.4807;0.306;;;46.902;0.291;0.403;1.381;0.670;0.486;0.260;0.291;0.420;1.612;2.968;0.419;0.498;0.084;64.177;
01.02.26;15:51:38;P.+F. SP;SP;F_260201_155138_0;n.c.;577;;0.0000;0.2483;0.6350;;0.5183;0.184;;;44.528;0.314;0.502;1.597;0.707;0.302;0.145;0.314;0.385;2.124;2.960;0.258;0.656;0.086;62.519;
01.02.26;15:52:08;P.+F. SP;SP;F_260201_155208_0;n.c.;902;;0.0000;0.2448;0.6124;;0.5468;0.107;;;40.622;0.332;0.561;1.693;0.722;0.179;0.080;0.332;0.371;2.434;2.926;0.152;0.752;0.097;57.453;
01.02.26;15:52:38;P.+F. SP;SP;F_260201_155238_0;n.c.;1394;;0.0000;0.2425;0.5982;;0.5607;0.063;;;36.719;0.340;0.597;1.756;0.731;0.105;0.046;0.340;0.363;2.599;2.901;0.093;0.803;0.104;54.596;
01.02.26;15:53:08;P.+F. SP;SP;F_260201_155308_0;n.c.;1731;;0.0000;0.2407;0.5875;;0.5602;0.047;;;33.847;0.340;0.614;1.807;0.738;0.079;0.034;0.340;0.356;2.688;2.937;0.077;0.830;0.093;55.847;
01.02.26;15:53:38;P.+F. SP;SP;F_260201_155338_0;n.c.;2158;;0.0000;0.2391;0.5781;;0.5586;0.034;;;30.529;0.339;0.628;1.853;0.744;0.057;0.025;0.339;0.351;2.725;2.894;0.052;0.841;0.106;47.347;
01.02.26;15:54:08;P.+F. SP;SP;F_260201_155408_0;n.c.;2664;;0.0000;0.2376;0.5693;;0.5559;0.024;;;26.391;0.337;0.639;1.896;0.749;0.040;0.017;0.337;0.345;2.775;2.921;0.045;0.857;0.098;50.406;
01.02.26;15:54:38;P.+F. SP;SP;F_260201_155438_0;n.c.;3250;;0.0000;0.2360;0.5601;;0.5516;0.015;;;20.716;0.335;0.650;1.944;0.755;0.026;0.011;0.335;0.340;2.769;2.830;0.019;0.855;0.126;25.437;
01.02.26;15:54:41;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
