"par","yield_1","yield_2","etr_1","etr_2"
0,0.136,0.804,0,0
26,0.697,0.368,7.61124,4.01856
36,0.7,0.403,10.584,6.09336
49,0.686,0.431,14.11788,8.86998
100,0.598,0.326,25.116,13.692
172,0.401,0.204,28.96824,14.73696
228,0.312,0.154,29.87712,14.74704
384,0.19,0.084,30.6432,13.54752
601,0.119,0.049,30.03798,12.36858
933,0.077,0.03,30.17322,11.7558
1440,0.041,0.017,24.7968,10.2816
1783,0.033,0.011,24.71238,8.23746
2219,0.029,0.009,27.02742,8.38782
2737,0.019,0.006,21.84126,6.89724
3335,0.011,0.004,15.4077,5.6028
