"par","yield_1","yield_2","etr_1","etr_2"
0,0.241,0.816,0,0
14,0.696,0.647,4.09248,3.80436
23,0.675,0.654,6.5205,6.31764
36,0.647,0.679,9.78264,10.26648
86,0.642,0.656,23.18904,23.69472
157,0.665,0.591,43.8501,38.97054
211,0.648,0.534,57.42576,47.32308
365,0.453,0.331,69.4449,50.7423
577,0.279,0.196,67.61286,47.49864
902,0.168,0.114,63.64512,43.18776
1394,0.097,0.066,56.79156,38.64168
1731,0.077,0.049,55.98054,35.62398
2158,0.061,0.034,55.28796,30.81624
2664,0.049,0.026,54.82512,29.09088
3250,0.024,0.018,32.76,24.57
