"par","yield_1","yield_2","etr_1","etr_2"
0,0.512,0.787,0,0
39,0.444,0.686,7.27272,11.23668
49,0.447,0.69,9.19926,14.2002
62,0.454,0.689,11.82216,17.94156
113,0.454,0.674,21.54684,31.98804
185,0.463,0.657,35.9751,51.0489
241,0.469,0.664,47.47218,67.21008
397,0.473,0.62,78.86802,103.3788
614,0.472,0.538,121.71936,138.73944
946,0.461,0.405,183.16452,160.9146
1453,0.397,0.272,242.27322,165.99072
1796,0.361,0.221,272.30952,166.70472
2232,0.312,0.173,292.48128,162.17712
2750,0.27,0.135,311.85,155.925
