"par","yield_1","yield_2","etr_1","etr_2"
0,0.088,0.782,0,0
14,0.608,0.558,3.57504,3.28104
23,0.592,0.563,5.71872,5.43858
36,0.582,0.582,8.79984,8.79984
86,0.612,0.586,22.10544,21.16632
157,0.64,0.568,42.2016,37.45392
211,0.652,0.555,57.78024,49.1841
365,0.606,0.393,92.8998,60.2469
577,0.448,0.248,108.56832,60.10032
902,0.28,0.151,106.0752,57.20484
1394,0.174,0.092,101.87352,53.86416
1731,0.141,0.071,102.50982,51.61842
2158,0.109,0.055,98.79324,49.8498
2664,0.095,0.039,106.2936,43.63632
3250,0.063,0.026,85.995,35.49
